,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,lnum_compromised,lroot_shell,lsu_attempted,lnum_root,lnum_file_creations,lnum_shells,lnum_access_files,lnum_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,group_classification
0,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0.0,0,0.0,0.0,1.0,0.0,0.0,255,96,0.38,0.01,0.38,0.0,0.0,0.0,0.0,0.0,teardrop,dos
1,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0.0,0,0.0,0.0,1.0,0.0,0.0,255,97,0.38,0.01,0.38,0.0,0.0,0.0,0.0,0.0,teardrop,dos
2,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0.0,0,0.0,0.0,1.0,0.0,0.0,255,98,0.38,0.01,0.38,0.0,0.0,0.0,0.0,0.0,teardrop,dos
3,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,0,0.0,0.0,1.0,0.0,0.0,255,99,0.39,0.01,0.39,0.0,0.0,0.0,0.0,0.0,teardrop,dos
4,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0.0,0,0.0,0.0,1.0,0.0,0.0,255,100,0.39,0.01,0.39,0.0,0.0,0.0,0.0,0.0,teardrop,dos
5,184,tcp,telnet,SF,1511,2957,0,0,0,3,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,1,3,1.0,0.0,1.0,0.67,0.0,0.0,0.0,0.0,buffer_overflow,r2l
6,305,tcp,telnet,SF,1735,2766,0,0,0,3,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,2,4,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,buffer_overflow,u2r
7,79,tcp,telnet,SF,281,1301,0,0,0,2,0,1,1,1,0,0,4,2,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,1,10,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.1,loadmodule,u2r
8,25,tcp,telnet,SF,269,2333,0,0,0,0,0,1,0,1,0,2,2,1,0,0,0,0,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,69,2,0.03,0.06,0.01,0.0,0.0,0.0,0.0,0.0,perl,u2r
9,0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0.83,1,0.0,0.0,0.83,0.33,0.0,5,6,1.0,0.0,0.2,0.33,1.0,0.83,0.0,0.0,neptune,probing
